t,Node_ID,Temp,Moist
09-Mar-2022 13:02:32,9,27.06,41.22
09-Mar-2022 13:09:24,3,27.41,38.37
09-Mar-2022 13:09:51,3,27.41,38.37
09-Mar-2022 13:11:50,10,27.41,42.04
09-Mar-2022 13:19:28,1,27.06,56.73
09-Mar-2022 13:22:27,9,27.41,41.22
09-Mar-2022 13:23:13,4,27.76,46.53
09-Mar-2022 13:24:09,4,27.76,46.53
09-Mar-2022 13:29:45,3,27.41,38.37
09-Mar-2022 13:33:34,5,26.71,37.96
09-Mar-2022 13:38:10,5,26.71,37.55
09-Mar-2022 13:39:23,1,27.06,56.33
09-Mar-2022 13:42:22,9,27.41,41.22
09-Mar-2022 13:43:43,6,27.41,40
09-Mar-2022 13:44:01,4,27.76,46.53
09-Mar-2022 13:46:01,6,27.06,36.73
09-Mar-2022 13:49:40,3,27.41,38.37
09-Mar-2022 13:50:51,7,27.06,36.73
09-Mar-2022 13:52:08,7,27.06,34.29
09-Mar-2022 13:52:28,7,27.06,33.88
09-Mar-2022 13:57:47,8,27.76,35.1
09-Mar-2022 13:58:04,5,27.06,37.55
09-Mar-2022 13:58:55,8,27.76,35.1
09-Mar-2022 13:59:20,1,27.41,56.33
09-Mar-2022 14:03:58,4,28.1,46.53
09-Mar-2022 14:05:12,9,27.41,40.41
09-Mar-2022 14:05:36,9,27.41,40.41
09-Mar-2022 14:05:54,9,27.41,40.41
09-Mar-2022 14:05:54,6,27.06,36.33
09-Mar-2022 14:06:14,9,27.41,40
09-Mar-2022 14:09:36,3,27.76,37.96
09-Mar-2022 14:11:19,10,28.1,41.63
09-Mar-2022 14:11:58,10,28.1,41.22
09-Mar-2022 14:12:19,7,27.06,33.88
09-Mar-2022 14:12:47,10,28.1,41.22
09-Mar-2022 14:13:17,10,28.1,41.22
09-Mar-2022 14:17:59,5,27.06,37.14
09-Mar-2022 14:18:50,8,28.1,35.1
09-Mar-2022 14:19:16,1,27.41,56.33
09-Mar-2022 14:21:43,11,27.41,37.96
09-Mar-2022 14:23:55,4,28.1,46.53
09-Mar-2022 14:25:50,6,27.06,36.33
09-Mar-2022 14:25:53,9,27.76,40.41
09-Mar-2022 14:29:32,3,27.76,37.96
09-Mar-2022 14:30:44,12,28.1,34.69
09-Mar-2022 14:31:33,12,28.1,33.47
09-Mar-2022 14:32:07,12,28.1,33.06
09-Mar-2022 14:32:14,7,27.06,33.47
09-Mar-2022 14:33:12,10,28.45,41.22
09-Mar-2022 14:37:34,2,27.41,36.73
09-Mar-2022 14:37:55,5,27.06,37.14
09-Mar-2022 14:38:47,8,28.1,35.1
09-Mar-2022 14:39:14,1,27.41,56.33
09-Mar-2022 14:41:25,11,27.41,37.55
09-Mar-2022 14:42:35,2,27.41,36.73
09-Mar-2022 14:43:51,4,28.45,46.53
09-Mar-2022 14:45:47,6,27.06,36.33
09-Mar-2022 14:45:47,9,27.76,40.41
09-Mar-2022 14:47:35,2,27.41,36.73
09-Mar-2022 14:49:28,3,28.1,37.96
09-Mar-2022 14:52:11,7,27.41,33.47
09-Mar-2022 14:52:36,2,27.41,36.73
09-Mar-2022 14:52:48,12,28.1,33.06
09-Mar-2022 14:53:08,10,28.8,41.22
09-Mar-2022 14:57:37,2,27.41,36.73
09-Mar-2022 14:57:50,5,27.41,37.14
09-Mar-2022 14:58:42,8,28.45,34.69
09-Mar-2022 14:59:08,1,27.41,56.33
09-Mar-2022 15:01:21,11,27.41,37.55
09-Mar-2022 15:02:38,2,27.76,36.73
09-Mar-2022 15:03:47,4,28.45,46.53
09-Mar-2022 15:05:41,9,28.1,40
09-Mar-2022 15:05:43,6,27.41,36.33
09-Mar-2022 15:07:39,2,27.76,36.73
09-Mar-2022 15:09:24,3,28.1,37.96
09-Mar-2022 15:12:06,7,27.41,33.47
09-Mar-2022 15:12:40,2,27.76,36.73
09-Mar-2022 15:12:43,12,28.45,33.06
09-Mar-2022 15:13:04,10,29.14,41.22
09-Mar-2022 15:17:40,2,27.76,36.73
09-Mar-2022 15:18:39,8,28.8,34.69
09-Mar-2022 15:19:03,1,27.76,55.92
09-Mar-2022 15:21:18,11,27.76,37.55
09-Mar-2022 15:22:41,2,27.76,36.73
09-Mar-2022 15:23:43,4,28.8,46.53
09-Mar-2022 15:25:35,9,28.1,40
09-Mar-2022 15:25:38,6,27.41,36.33
09-Mar-2022 15:27:42,2,27.76,36.73
09-Mar-2022 15:29:19,3,28.45,37.96
09-Mar-2022 15:32:00,7,27.41,33.06
09-Mar-2022 15:32:39,12,28.45,33.06
09-Mar-2022 15:32:43,2,27.76,36.73
09-Mar-2022 15:32:59,10,29.49,41.22
09-Mar-2022 15:37:40,5,27.41,37.14
09-Mar-2022 15:37:44,2,27.76,36.73
09-Mar-2022 15:38:35,8,29.14,34.69
09-Mar-2022 15:38:58,1,27.76,55.92
09-Mar-2022 15:41:12,11,27.76,37.14
09-Mar-2022 15:42:44,2,27.76,36.73
09-Mar-2022 15:43:39,4,29.14,46.12
09-Mar-2022 15:45:35,6,27.41,36.33
09-Mar-2022 15:47:45,2,27.76,36.73
09-Mar-2022 15:49:14,3,28.45,37.96
09-Mar-2022 15:51:55,7,27.76,33.06
09-Mar-2022 15:52:34,12,28.8,33.06
09-Mar-2022 15:52:46,2,27.76,36.73
09-Mar-2022 15:52:55,10,30.18,41.22
09-Mar-2022 15:57:35,5,27.76,37.14
09-Mar-2022 15:57:47,2,27.76,36.73
09-Mar-2022 15:58:31,8,29.49,34.69
09-Mar-2022 15:58:53,1,27.76,55.92
09-Mar-2022 16:01:08,11,28.1,37.14
09-Mar-2022 16:02:47,2,28.1,36.73
09-Mar-2022 16:03:34,4,29.14,46.12
09-Mar-2022 16:05:24,9,28.45,40
09-Mar-2022 16:05:31,6,27.76,35.92
09-Mar-2022 16:07:48,2,28.1,36.73
09-Mar-2022 16:09:10,3,28.8,37.96
09-Mar-2022 16:11:50,7,27.76,33.06
09-Mar-2022 16:12:29,12,28.8,33.06
09-Mar-2022 16:12:49,2,28.1,36.73
09-Mar-2022 16:12:51,10,30.53,41.22
09-Mar-2022 16:17:30,5,27.76,36.73
09-Mar-2022 16:17:50,2,28.1,36.73
09-Mar-2022 16:18:27,8,29.49,34.69
09-Mar-2022 16:18:48,1,28.1,55.92
09-Mar-2022 16:21:05,11,28.1,37.14
09-Mar-2022 16:22:51,2,28.1,36.73
09-Mar-2022 16:23:30,4,29.49,46.12
09-Mar-2022 16:25:18,9,28.45,40
09-Mar-2022 16:25:26,6,27.76,35.92
09-Mar-2022 16:27:51,2,28.1,36.73
09-Mar-2022 16:29:05,3,28.8,37.55
09-Mar-2022 16:31:45,7,28.1,32.65
09-Mar-2022 16:32:26,12,28.8,33.06
09-Mar-2022 16:32:46,10,30.88,40.82
09-Mar-2022 16:32:52,2,28.1,36.73
09-Mar-2022 16:37:24,5,28.1,36.73
09-Mar-2022 16:37:53,2,28.1,36.73
09-Mar-2022 16:38:21,8,29.84,34.69
09-Mar-2022 16:38:42,1,28.1,56.33
09-Mar-2022 16:40:59,11,28.45,37.14
09-Mar-2022 16:42:54,2,28.1,36.73
09-Mar-2022 16:43:25,4,29.49,46.12
09-Mar-2022 16:45:13,9,28.8,40
09-Mar-2022 16:45:22,6,27.76,35.92
09-Mar-2022 16:47:54,2,28.1,36.73
09-Mar-2022 16:48:59,3,29.14,37.55
09-Mar-2022 16:51:39,7,28.1,32.65
09-Mar-2022 16:52:21,12,29.14,33.06
09-Mar-2022 16:52:55,2,28.1,36.73
09-Mar-2022 16:57:19,5,28.1,36.73
09-Mar-2022 16:57:56,2,28.45,36.73
09-Mar-2022 16:58:17,8,30.18,34.69
09-Mar-2022 16:58:35,1,28.1,56.33
09-Mar-2022 17:00:55,11,28.8,37.14
09-Mar-2022 17:02:57,2,28.45,36.73
09-Mar-2022 17:03:20,4,29.84,46.12
09-Mar-2022 17:05:08,9,28.8,40
09-Mar-2022 17:07:58,2,28.45,36.73
09-Mar-2022 17:08:54,3,29.14,37.55
09-Mar-2022 17:11:34,7,28.1,32.65
09-Mar-2022 17:12:17,12,29.49,33.06
09-Mar-2022 17:12:37,10,31.92,40.82
09-Mar-2022 17:12:58,2,28.45,36.73
09-Mar-2022 17:17:14,5,28.1,36.73
09-Mar-2022 17:17:59,2,28.45,36.73
09-Mar-2022 17:18:12,8,30.18,34.29
09-Mar-2022 17:18:29,1,28.45,55.92
09-Mar-2022 17:20:49,11,29.14,36.73
09-Mar-2022 17:23:00,2,28.45,36.33
09-Mar-2022 17:23:15,4,29.84,45.71
09-Mar-2022 17:25:14,6,28.1,35.92
09-Mar-2022 17:28:00,2,28.45,36.33
09-Mar-2022 17:28:48,3,29.14,37.55
09-Mar-2022 17:31:29,7,28.45,32.65
09-Mar-2022 17:32:12,12,29.84,33.06
09-Mar-2022 17:33:01,2,28.45,36.33
09-Mar-2022 17:37:08,5,28.45,36.33
09-Mar-2022 17:38:02,2,28.45,36.33
09-Mar-2022 17:38:06,8,30.53,34.29
09-Mar-2022 17:38:24,1,28.45,56.33
09-Mar-2022 17:40:43,11,29.14,36.73
09-Mar-2022 17:43:02,2,28.45,36.33
09-Mar-2022 17:43:11,4,30.18,45.71
09-Mar-2022 17:44:56,9,29.14,40
09-Mar-2022 17:45:11,6,28.45,35.92
09-Mar-2022 17:48:03,2,28.8,36.73
09-Mar-2022 17:48:43,3,29.14,37.55
09-Mar-2022 17:51:25,7,28.45,32.24
09-Mar-2022 17:52:07,12,29.84,33.06
09-Mar-2022 17:52:26,10,32.96,40.82
09-Mar-2022 17:53:04,2,28.8,36.33
09-Mar-2022 17:57:02,5,28.45,36.33
09-Mar-2022 17:57:59,8,30.53,34.29
09-Mar-2022 17:58:05,2,28.8,36.33
09-Mar-2022 17:58:20,1,28.45,55.51
09-Mar-2022 18:00:37,11,29.49,36.73
09-Mar-2022 18:03:06,2,28.8,36.33
09-Mar-2022 18:03:06,4,30.18,45.71
09-Mar-2022 18:04:51,9,29.49,40
09-Mar-2022 18:05:06,6,28.45,35.51
09-Mar-2022 18:08:07,2,28.8,36.33
09-Mar-2022 18:08:38,3,29.14,37.55
09-Mar-2022 18:11:21,7,28.45,32.24
09-Mar-2022 18:12:02,12,30.18,33.06
09-Mar-2022 18:12:22,10,33.31,40.82
09-Mar-2022 18:13:07,2,28.8,36.33
09-Mar-2022 18:16:57,5,28.45,36.73
09-Mar-2022 18:17:54,8,30.53,34.29
09-Mar-2022 18:18:08,2,28.8,36.33
09-Mar-2022 18:18:14,1,28.8,55.51
09-Mar-2022 18:20:31,11,29.49,36.33
09-Mar-2022 18:23:01,4,30.18,45.71
09-Mar-2022 18:23:09,2,28.8,36.33
09-Mar-2022 18:24:45,9,29.49,40
09-Mar-2022 18:25:02,6,28.8,35.51
09-Mar-2022 18:28:09,2,28.8,36.33
09-Mar-2022 18:28:34,3,29.49,37.14
09-Mar-2022 18:31:16,7,28.8,32.24
09-Mar-2022 18:31:57,12,30.53,33.06
09-Mar-2022 18:33:10,2,28.8,36.33
09-Mar-2022 18:36:53,5,28.45,36.73
09-Mar-2022 18:37:48,8,30.53,34.29
09-Mar-2022 18:38:10,1,28.8,55.51
09-Mar-2022 18:38:11,2,29.14,36.33
09-Mar-2022 18:40:26,11,29.49,36.33
09-Mar-2022 18:42:55,4,30.53,45.31
09-Mar-2022 18:43:11,2,29.14,36.33
09-Mar-2022 18:44:40,9,29.84,40
09-Mar-2022 18:44:59,6,28.8,35.51
09-Mar-2022 18:48:12,2,29.14,36.33
09-Mar-2022 18:48:29,3,29.49,37.14
09-Mar-2022 18:51:11,7,28.8,32.24
09-Mar-2022 18:51:53,12,30.88,33.06
09-Mar-2022 18:52:11,10,33.65,40.41
09-Mar-2022 18:53:13,2,29.14,36.33
09-Mar-2022 18:56:47,5,28.8,36.73
09-Mar-2022 18:57:42,8,30.53,34.29
09-Mar-2022 18:58:05,1,29.14,55.51
09-Mar-2022 18:58:14,2,29.14,36.33
09-Mar-2022 19:00:19,11,29.49,36.33
09-Mar-2022 19:02:49,4,30.53,45.31
09-Mar-2022 19:03:15,2,29.14,36.33
09-Mar-2022 19:04:34,9,29.84,40
09-Mar-2022 19:04:55,6,29.14,35.51
09-Mar-2022 19:08:16,2,29.14,36.33
09-Mar-2022 19:08:24,3,29.49,37.14
09-Mar-2022 19:11:05,7,28.8,32.24
09-Mar-2022 19:11:47,12,31.22,33.06
09-Mar-2022 19:12:05,10,33.65,40.41
09-Mar-2022 19:13:16,2,29.14,36.33
09-Mar-2022 19:16:41,5,28.8,36.33
09-Mar-2022 19:17:36,8,30.53,34.29
09-Mar-2022 19:17:58,1,29.14,55.1
09-Mar-2022 19:18:17,2,29.49,36.33
09-Mar-2022 19:20:13,11,29.49,36.33
09-Mar-2022 19:22:44,4,30.53,45.31
09-Mar-2022 19:23:18,2,29.49,36.33
09-Mar-2022 19:24:29,9,30.18,40
09-Mar-2022 19:24:49,6,29.14,35.1
09-Mar-2022 19:28:18,3,29.49,37.14
09-Mar-2022 19:28:19,2,29.49,36.33
09-Mar-2022 19:30:59,7,29.14,32.24
09-Mar-2022 19:31:42,12,31.57,32.65
09-Mar-2022 19:33:20,2,29.49,36.33
09-Mar-2022 19:36:35,5,29.14,36.33
09-Mar-2022 19:37:31,8,30.53,33.88
09-Mar-2022 19:37:53,1,29.14,55.1
09-Mar-2022 19:38:20,2,29.49,36.33
09-Mar-2022 19:40:08,11,29.49,36.33
09-Mar-2022 19:42:40,4,30.53,45.31
09-Mar-2022 19:43:21,2,29.49,36.33
09-Mar-2022 19:44:23,9,30.53,40
09-Mar-2022 19:44:44,6,29.14,35.1
09-Mar-2022 19:48:14,3,29.49,37.14
09-Mar-2022 19:48:22,2,29.49,36.33
09-Mar-2022 19:50:53,7,29.14,31.84
09-Mar-2022 19:51:36,12,31.92,32.65
09-Mar-2022 19:51:55,10,33.31,40.41
09-Mar-2022 19:53:23,2,29.49,36.33
09-Mar-2022 19:56:29,5,29.14,35.92
09-Mar-2022 19:57:25,8,30.53,33.88
09-Mar-2022 19:57:46,1,29.14,54.69
09-Mar-2022 19:58:23,2,29.49,36.33
09-Mar-2022 20:00:04,11,29.49,35.92
09-Mar-2022 20:02:35,4,30.53,45.31
09-Mar-2022 20:03:24,2,29.49,36.33
09-Mar-2022 20:04:17,9,30.53,40
09-Mar-2022 20:08:09,3,29.84,37.14
09-Mar-2022 20:08:25,2,29.84,36.33
09-Mar-2022 20:10:47,7,29.14,31.84
09-Mar-2022 20:11:30,12,32.27,32.65
09-Mar-2022 20:13:25,2,29.84,36.33
09-Mar-2022 20:17:20,8,30.53,33.88
09-Mar-2022 20:17:39,1,29.14,54.69
09-Mar-2022 20:18:26,2,29.84,36.33
09-Mar-2022 20:19:58,11,29.49,35.92
09-Mar-2022 20:22:28,4,30.53,44.9
09-Mar-2022 20:23:27,2,29.84,35.92
09-Mar-2022 20:24:10,9,30.53,39.59
09-Mar-2022 20:24:31,6,29.49,34.69
09-Mar-2022 20:28:03,3,29.84,36.73
09-Mar-2022 20:28:27,2,29.84,35.92
09-Mar-2022 20:30:39,7,29.14,31.84
09-Mar-2022 20:31:23,12,32.27,32.65
09-Mar-2022 20:33:28,2,29.84,35.92
09-Mar-2022 20:36:15,5,29.14,35.92
09-Mar-2022 20:37:13,8,30.53,33.88
09-Mar-2022 20:37:32,1,29.49,54.69
09-Mar-2022 20:38:28,2,29.84,35.92
09-Mar-2022 20:39:51,11,29.49,35.92
09-Mar-2022 20:42:21,4,30.88,44.9
09-Mar-2022 20:43:29,2,29.84,35.92
09-Mar-2022 20:44:01,9,30.88,39.59
09-Mar-2022 20:44:24,6,29.49,34.29
09-Mar-2022 20:47:57,3,29.84,36.73
09-Mar-2022 20:48:29,2,29.84,35.92
09-Mar-2022 20:50:31,7,29.49,31.43
09-Mar-2022 20:51:14,12,32.27,32.65
09-Mar-2022 20:51:36,10,33.31,40.41
09-Mar-2022 20:53:29,2,29.84,35.92
09-Mar-2022 20:56:08,5,29.14,35.92
09-Mar-2022 20:57:07,8,30.53,33.88
09-Mar-2022 20:57:25,1,29.49,54.69
09-Mar-2022 20:58:30,2,29.84,35.92
09-Mar-2022 20:59:43,11,29.49,35.92
09-Mar-2022 21:02:15,4,30.53,44.9
09-Mar-2022 21:03:30,2,29.84,35.92
09-Mar-2022 21:03:53,9,30.88,39.59
09-Mar-2022 21:04:17,6,29.49,34.69
09-Mar-2022 21:07:50,3,29.84,36.73
09-Mar-2022 21:08:31,2,29.84,35.92
09-Mar-2022 21:10:23,7,29.49,31.43
09-Mar-2022 21:11:06,12,32.27,32.24
09-Mar-2022 21:13:32,2,29.84,35.92
09-Mar-2022 21:16:02,5,29.49,35.92
09-Mar-2022 21:17:01,8,30.53,33.88
09-Mar-2022 21:17:19,1,29.14,54.69
09-Mar-2022 21:18:32,2,29.84,35.51
09-Mar-2022 21:19:37,11,29.49,35.92
09-Mar-2022 21:22:08,4,30.53,44.9
09-Mar-2022 21:23:33,2,29.84,35.51
09-Mar-2022 21:23:46,9,30.88,39.18
09-Mar-2022 21:24:11,6,29.49,34.29
09-Mar-2022 21:27:44,3,29.84,36.73
09-Mar-2022 21:28:33,2,29.84,35.92
09-Mar-2022 21:30:16,7,29.49,31.43
09-Mar-2022 21:30:59,12,32.27,32.24
09-Mar-2022 21:33:34,2,29.84,35.92
09-Mar-2022 21:35:55,5,29.14,35.92
09-Mar-2022 21:36:55,8,30.53,33.88
09-Mar-2022 21:37:12,1,29.14,54.69
09-Mar-2022 21:38:34,2,29.84,35.92
09-Mar-2022 21:39:30,11,29.49,35.92
09-Mar-2022 21:42:02,4,30.53,44.49
09-Mar-2022 21:43:35,2,29.84,35.92
09-Mar-2022 21:43:38,9,30.88,39.18
09-Mar-2022 21:44:04,6,29.49,34.29
09-Mar-2022 21:47:37,3,29.84,36.73
09-Mar-2022 21:48:36,2,29.84,35.92
09-Mar-2022 21:50:09,7,29.49,31.43
09-Mar-2022 21:50:53,12,32.27,32.24
09-Mar-2022 21:51:17,10,32.96,40.41
09-Mar-2022 21:53:37,2,29.84,35.92
09-Mar-2022 21:55:48,5,29.14,35.92
09-Mar-2022 21:56:49,8,30.53,33.88
09-Mar-2022 21:57:04,1,29.14,54.69
09-Mar-2022 21:58:37,2,29.84,35.92
09-Mar-2022 21:59:23,11,29.49,35.51
09-Mar-2022 22:01:56,4,30.53,44.49
09-Mar-2022 22:03:30,9,30.53,39.18
09-Mar-2022 22:03:37,2,29.84,35.92
09-Mar-2022 22:03:58,6,29.49,34.29
09-Mar-2022 22:07:30,3,29.49,36.73
09-Mar-2022 22:08:38,2,29.84,35.92
09-Mar-2022 22:10:02,7,29.49,31.43
09-Mar-2022 22:10:46,12,31.92,32.24
09-Mar-2022 22:13:39,2,29.84,35.92
09-Mar-2022 22:15:42,5,29.14,35.92
09-Mar-2022 22:16:42,8,30.18,33.47
09-Mar-2022 22:16:58,1,29.14,54.69
09-Mar-2022 22:18:39,2,29.84,35.51
09-Mar-2022 22:19:16,11,29.49,35.51
09-Mar-2022 22:21:49,4,30.18,44.49
09-Mar-2022 22:23:23,9,30.53,39.18
09-Mar-2022 22:23:40,2,29.84,35.51
09-Mar-2022 22:23:51,6,29.49,34.29
09-Mar-2022 22:27:24,3,29.49,36.73
09-Mar-2022 22:28:41,2,29.84,35.92
09-Mar-2022 22:29:56,7,29.49,31.43
09-Mar-2022 22:30:40,12,31.92,32.24
09-Mar-2022 22:31:05,10,32.61,40
09-Mar-2022 22:33:41,2,29.49,35.51
09-Mar-2022 22:35:36,5,29.14,35.51
09-Mar-2022 22:36:36,8,30.18,33.88
09-Mar-2022 22:36:50,1,29.14,54.69
09-Mar-2022 22:38:42,2,29.49,35.92
09-Mar-2022 22:39:10,11,29.49,35.51
09-Mar-2022 22:41:44,4,30.18,44.49
09-Mar-2022 22:43:17,9,30.53,39.18
09-Mar-2022 22:43:43,2,29.49,35.92
09-Mar-2022 22:43:46,6,29.49,34.29
09-Mar-2022 22:47:19,3,29.49,36.73
09-Mar-2022 22:48:43,2,29.49,35.51
09-Mar-2022 22:49:49,7,29.49,31.43
09-Mar-2022 22:50:33,12,31.92,32.24
09-Mar-2022 22:51:00,10,32.27,40
09-Mar-2022 22:53:44,2,29.49,35.51
09-Mar-2022 22:55:29,5,29.14,35.51
09-Mar-2022 22:56:30,8,30.18,33.88
09-Mar-2022 22:56:43,1,29.14,55.1
09-Mar-2022 22:58:45,2,29.49,35.51
09-Mar-2022 22:59:04,11,29.49,35.51
09-Mar-2022 23:01:39,4,30.18,44.49
09-Mar-2022 23:03:11,9,30.18,39.18
09-Mar-2022 23:03:41,6,29.14,34.29
09-Mar-2022 23:03:46,2,29.49,35.51
09-Mar-2022 23:07:13,3,29.49,36.73
09-Mar-2022 23:08:46,2,29.49,35.51
09-Mar-2022 23:09:43,7,29.49,31.43
09-Mar-2022 23:10:27,12,31.57,32.24
09-Mar-2022 23:10:55,10,32.27,40
09-Mar-2022 23:13:47,2,29.49,35.51
09-Mar-2022 23:16:24,8,29.84,33.88
09-Mar-2022 23:16:36,1,29.14,55.1
09-Mar-2022 23:18:48,2,29.49,35.51
09-Mar-2022 23:18:58,11,29.14,35.51
09-Mar-2022 23:21:33,4,30.18,44.49
09-Mar-2022 23:23:04,9,30.18,39.18
09-Mar-2022 23:23:36,6,29.14,34.29
09-Mar-2022 23:23:48,2,29.49,35.51
09-Mar-2022 23:27:08,3,29.49,36.33
09-Mar-2022 23:28:49,2,29.49,35.51
09-Mar-2022 23:29:37,7,29.49,31.43
09-Mar-2022 23:30:50,10,31.92,40
09-Mar-2022 23:33:49,2,29.49,35.51
09-Mar-2022 23:35:17,5,29.14,35.51
09-Mar-2022 23:36:19,8,29.84,33.47
09-Mar-2022 23:36:30,1,29.14,54.69
09-Mar-2022 23:38:50,2,29.49,35.51
09-Mar-2022 23:38:53,11,29.14,35.51
09-Mar-2022 23:41:27,4,29.84,44.49
09-Mar-2022 23:42:58,9,30.18,38.78
09-Mar-2022 23:43:32,6,29.14,34.29
09-Mar-2022 23:43:51,2,29.49,35.92
09-Mar-2022 23:47:02,3,29.14,36.33
09-Mar-2022 23:48:51,2,29.49,35.51
09-Mar-2022 23:49:31,7,29.14,31.43
09-Mar-2022 23:50:15,12,31.22,32.24
09-Mar-2022 23:50:44,10,31.92,40
09-Mar-2022 23:53:52,2,29.49,35.92
09-Mar-2022 23:55:11,5,28.8,35.51
09-Mar-2022 23:56:13,8,29.84,33.88
09-Mar-2022 23:56:24,1,29.14,54.69
09-Mar-2022 23:58:47,11,29.14,35.51
09-Mar-2022 23:58:52,2,29.49,35.51
10-Mar-2022 00:01:22,4,29.84,44.49
10-Mar-2022 00:02:52,9,29.84,38.78
10-Mar-2022 00:03:27,6,29.14,34.29
10-Mar-2022 00:03:53,2,29.49,35.51
